"restaurant_id","restaurant_name","total_revenue"
252,"Mumbai Masala 252",9088.22
195,"Flavours of India 195",4410.94
138,"Biryani House 138",3294.28
55,"Masala Magic 55",7137.17
68,"Bombay Bistro 68",994.49
53,"Chai & Chat 53",3991.22
198,"Delhi Darbar 198",4029.99
125,"The Hungry Panda 125",2361.01
155,"Delhi Darbar 155",7374.86
154,"The Curry Leaf 154",4112.639999999999
101,"Saffron Delight 101",2558.36
164,"Mughal Mahal 164",6519.98
167,"Taste of Punjab 167",5153.389999999999
280,"Taste of Punjab 280",3497.9300000000003
225,"Royal Tandoor 225",3702.71
256,"Pizza Junction 256",3077.58
194,"Annapurna Bhavan 194",1689.4199999999998
215,"Dragon Wok 215",8108.6500000000015
56,"Kolkata Kitchen 56",8725.18
205,"Mughal Mahal 205",5156.87
266,"Taste of Punjab 266",2236.04
257,"Madras Cafe 257",2874
60,"Chai & Chat 60",6008.48
248,"Taste of Punjab 248",4061.2
35,"Flavours of India 35",6658.59
85,"The Hungry Panda 85",6110.709999999999
237,"Mughal Mahal 237",7457.34
203,"Golden Spoon 203",6992.39
200,"Chai & Chat 200",9419.76
296,"Bombay Bistro 296",7841.98
135,"Mumbai Masala 135",6176.7
201,"Biryani House 201",9183.05
153,"The Food Studio 153",872.21
157,"Rasoi Ghar 157",3459.53
71,"Saffron Delight 71",11001.43
285,"Biryani House 285",7662.930000000001
28,"Dragon Wok 28",3879.29
259,"Urban Tadka 259",6866.200000000001
251,"Flavours of India 251",6030.77
17,"Chai & Chat 17",3156.61
254,"Delhi Darbar 254",3526.7200000000003
188,"Rasoi Ghar 188",3982.18
127,"Tandoori Nights 127",4727.45
220,"Dragon Wok 220",4343.35
292,"Burger Factory 292",6170.299999999999
149,"Golden Spoon 149",1899.37
70,"Kolkata Kitchen 70",3384.87
128,"Bombay Bistro 128",3377.89
39,"Delhi Darbar 39",1233.3200000000002
233,"Punjabi Dhaba 233",6567.24
